"","Rank","BriefTitle","Condition","StartDate","NCTId","OrgFullName","OverallStatus","BriefSummary","DetailedDescription","Keyword","StudyType","EligibilityCriteria","HealthyVolunteers","MinimumAge","Gender","location","LocationCity","LocationZip","LocationState","ResponsiblePartyInvestigatorFullName","LocationCountry","lon","lat"
"21",41,"Escitalopram and Language Intervention for Subacute Aphasia","Aphasia Stroke","July 18, 2021","NCT03843463","Johns Hopkins University","Recruiting","In this project, the investigators will investigate the effects of a selective serotonin reuptake inhibitor (SSRI), escitalopram, on augmenting language therapy effectiveness, as measured by naming untrained pictures and describing pictures, in individuals with aphasia in the acute and subacute post stroke period (i.e., within three months post stroke).","In this project, the investigators will investigate the effects of a selective serotonin reuptake inhibitor (SSRI), escitalopram, on augmenting language therapy effectiveness, as measured by naming untrained pictures and describing pictures, in individuals with aphasia in the acute and subacute post stroke period (i.e., within three months post stroke). There has been no previous randomized controlled trial (RCT) to evaluate the effect of daily SSRI in the first three months after stroke on improvement of language in people undergoing aphasia treatment. It is plausible that SSRIs, which elevate synaptic serotonin, might enhance recovery by augmenting synaptic plasticity.

The investigators propose to conduct a Phase 2 multi-center, randomized, double blind, placebo-controlled trial of escitalopram for augmenting language intervention in subacute stroke. The investigators hypothesize that daily escitalopram for 90 days after stroke results in greater improvement (compared to placebo) in naming untrained pictures, as well as greater increase in content of picture description and greater improvement in morphosyntactic production, when combined with speech and language treatment (SALT). A second aim is to evaluate the mechanisms of language recovery in individuals who receive active medical treatment and those who receive placebo, using resting state functional magnetic resonance imaging (rsfMRI) and genetic testing. The investigators hypothesize that greater improvement in language is associated with increased connectivity within the left hemisphere language network on rsfMRI in participants who receive escitalopram than in those who receive placebo, independently of improvement in depression. The investigators also hypothesize that the effects are greatest in individuals with val/val allele of brain-derived neurotrophic factor (BDNF) - (consistent with previous studies showing a greater response to treatment and greater neuroplasticity in people with the val/val allele than those with one or more met alleles.","","Interventional","Inclusion Criteria:

Participants must have sustained an acute ischemic left hemisphere stroke.
Participants must be fluent speakers of English by self-report.
Participants must be capable of giving informed consent or indicating a legally authorized representative to provide informed consent.
Participants must be age 18 or older.
Participants must be within 5 days of onset of stroke.
Participants must be pre-morbidly right-handed by self-report.
Participants must have an aphasia diagnosis as confirmed by the Western Aphasia Battery-Revised (Aphasia Quotient < 93.8).

Exclusion Criteria:

Previous neurological disease affecting the brain including previous symptomatic stroke
Diagnosis of schizophrenia, autism, or other psychiatric or neurological condition that affects naming/language
A history of additional risk factors for torsades de pointes (TdP; e.g., heart failure, hypokalemia, family history of Long QT Syndrome)
Current severe depression, defined as a score of > 15 on the Patient Health Questionnaire (PHQ-9)
Uncorrected visual loss or hearing loss by self-report
Use of any medication approved by the FDA for treatment of depression at the time of stroke onset
Concomitant use of any monoamine oxidase inhibitors (MAOIs) or pimozide, or other drugs that prolong the QT/QTc interval, triptans (and other 5-Hydroxytryptamine Receptor Agonists), or other contraindications to escitalopram that may be identified.
A QTc greater than 450 milliseconds on electrocardiogram or evidence of hyponatremia (Na < 130) at baseline
Pregnancy at the time of stroke or planning to become pregnant during the study term.","No","18 Years","All","Baltimore Maryland United States","Baltimore","21287","Maryland",NA,"United States",-76.6108,39.2909
"22",41,"Escitalopram and Language Intervention for Subacute Aphasia","Aphasia Stroke","July 18, 2021","NCT03843463","Johns Hopkins University","Recruiting","In this project, the investigators will investigate the effects of a selective serotonin reuptake inhibitor (SSRI), escitalopram, on augmenting language therapy effectiveness, as measured by naming untrained pictures and describing pictures, in individuals with aphasia in the acute and subacute post stroke period (i.e., within three months post stroke).","In this project, the investigators will investigate the effects of a selective serotonin reuptake inhibitor (SSRI), escitalopram, on augmenting language therapy effectiveness, as measured by naming untrained pictures and describing pictures, in individuals with aphasia in the acute and subacute post stroke period (i.e., within three months post stroke). There has been no previous randomized controlled trial (RCT) to evaluate the effect of daily SSRI in the first three months after stroke on improvement of language in people undergoing aphasia treatment. It is plausible that SSRIs, which elevate synaptic serotonin, might enhance recovery by augmenting synaptic plasticity.

The investigators propose to conduct a Phase 2 multi-center, randomized, double blind, placebo-controlled trial of escitalopram for augmenting language intervention in subacute stroke. The investigators hypothesize that daily escitalopram for 90 days after stroke results in greater improvement (compared to placebo) in naming untrained pictures, as well as greater increase in content of picture description and greater improvement in morphosyntactic production, when combined with speech and language treatment (SALT). A second aim is to evaluate the mechanisms of language recovery in individuals who receive active medical treatment and those who receive placebo, using resting state functional magnetic resonance imaging (rsfMRI) and genetic testing. The investigators hypothesize that greater improvement in language is associated with increased connectivity within the left hemisphere language network on rsfMRI in participants who receive escitalopram than in those who receive placebo, independently of improvement in depression. The investigators also hypothesize that the effects are greatest in individuals with val/val allele of brain-derived neurotrophic factor (BDNF) - (consistent with previous studies showing a greater response to treatment and greater neuroplasticity in people with the val/val allele than those with one or more met alleles.","","Interventional","Inclusion Criteria:

Participants must have sustained an acute ischemic left hemisphere stroke.
Participants must be fluent speakers of English by self-report.
Participants must be capable of giving informed consent or indicating a legally authorized representative to provide informed consent.
Participants must be age 18 or older.
Participants must be within 5 days of onset of stroke.
Participants must be pre-morbidly right-handed by self-report.
Participants must have an aphasia diagnosis as confirmed by the Western Aphasia Battery-Revised (Aphasia Quotient < 93.8).

Exclusion Criteria:

Previous neurological disease affecting the brain including previous symptomatic stroke
Diagnosis of schizophrenia, autism, or other psychiatric or neurological condition that affects naming/language
A history of additional risk factors for torsades de pointes (TdP; e.g., heart failure, hypokalemia, family history of Long QT Syndrome)
Current severe depression, defined as a score of > 15 on the Patient Health Questionnaire (PHQ-9)
Uncorrected visual loss or hearing loss by self-report
Use of any medication approved by the FDA for treatment of depression at the time of stroke onset
Concomitant use of any monoamine oxidase inhibitors (MAOIs) or pimozide, or other drugs that prolong the QT/QTc interval, triptans (and other 5-Hydroxytryptamine Receptor Agonists), or other contraindications to escitalopram that may be identified.
A QTc greater than 450 milliseconds on electrocardiogram or evidence of hyponatremia (Na < 130) at baseline
Pregnancy at the time of stroke or planning to become pregnant during the study term.","No","18 Years","All","Charleston South Carolina United States","Charleston","29425","South Carolina",NA,"United States",-79.9403,32.7876
"23",41,"Escitalopram and Language Intervention for Subacute Aphasia","Aphasia Stroke","July 18, 2021","NCT03843463","Johns Hopkins University","Recruiting","In this project, the investigators will investigate the effects of a selective serotonin reuptake inhibitor (SSRI), escitalopram, on augmenting language therapy effectiveness, as measured by naming untrained pictures and describing pictures, in individuals with aphasia in the acute and subacute post stroke period (i.e., within three months post stroke).","In this project, the investigators will investigate the effects of a selective serotonin reuptake inhibitor (SSRI), escitalopram, on augmenting language therapy effectiveness, as measured by naming untrained pictures and describing pictures, in individuals with aphasia in the acute and subacute post stroke period (i.e., within three months post stroke). There has been no previous randomized controlled trial (RCT) to evaluate the effect of daily SSRI in the first three months after stroke on improvement of language in people undergoing aphasia treatment. It is plausible that SSRIs, which elevate synaptic serotonin, might enhance recovery by augmenting synaptic plasticity.

The investigators propose to conduct a Phase 2 multi-center, randomized, double blind, placebo-controlled trial of escitalopram for augmenting language intervention in subacute stroke. The investigators hypothesize that daily escitalopram for 90 days after stroke results in greater improvement (compared to placebo) in naming untrained pictures, as well as greater increase in content of picture description and greater improvement in morphosyntactic production, when combined with speech and language treatment (SALT). A second aim is to evaluate the mechanisms of language recovery in individuals who receive active medical treatment and those who receive placebo, using resting state functional magnetic resonance imaging (rsfMRI) and genetic testing. The investigators hypothesize that greater improvement in language is associated with increased connectivity within the left hemisphere language network on rsfMRI in participants who receive escitalopram than in those who receive placebo, independently of improvement in depression. The investigators also hypothesize that the effects are greatest in individuals with val/val allele of brain-derived neurotrophic factor (BDNF) - (consistent with previous studies showing a greater response to treatment and greater neuroplasticity in people with the val/val allele than those with one or more met alleles.","","Interventional","Inclusion Criteria:

Participants must have sustained an acute ischemic left hemisphere stroke.
Participants must be fluent speakers of English by self-report.
Participants must be capable of giving informed consent or indicating a legally authorized representative to provide informed consent.
Participants must be age 18 or older.
Participants must be within 5 days of onset of stroke.
Participants must be pre-morbidly right-handed by self-report.
Participants must have an aphasia diagnosis as confirmed by the Western Aphasia Battery-Revised (Aphasia Quotient < 93.8).

Exclusion Criteria:

Previous neurological disease affecting the brain including previous symptomatic stroke
Diagnosis of schizophrenia, autism, or other psychiatric or neurological condition that affects naming/language
A history of additional risk factors for torsades de pointes (TdP; e.g., heart failure, hypokalemia, family history of Long QT Syndrome)
Current severe depression, defined as a score of > 15 on the Patient Health Questionnaire (PHQ-9)
Uncorrected visual loss or hearing loss by self-report
Use of any medication approved by the FDA for treatment of depression at the time of stroke onset
Concomitant use of any monoamine oxidase inhibitors (MAOIs) or pimozide, or other drugs that prolong the QT/QTc interval, triptans (and other 5-Hydroxytryptamine Receptor Agonists), or other contraindications to escitalopram that may be identified.
A QTc greater than 450 milliseconds on electrocardiogram or evidence of hyponatremia (Na < 130) at baseline
Pregnancy at the time of stroke or planning to become pregnant during the study term.","No","18 Years","All","Columbia South Carolina United States","Columbia","29208","South Carolina",NA,"United States",-81.0343,34.0007
"24",46,"Treatment Outcomes With tDCS in Post-Stroke Aphasia","Aphasia","September 3, 2019","NCT03929432","University of Arkansas","Recruiting","The purpose this study is to test the utility of pairing external neuromodulation with behavioral language treatment to boost therapy outcomes and to investigate the mechanisms associated with recovery. Because all PWA have word retrieval deficits, this project will test if greater language gains can be achieved by supplementing anomia intervention with excitatory brain stimulation to the left hemisphere and will evaluate associated functional brain changes to aid the optimization of neural reorganization to facilitate language processing.","Aphasia is a language impairment that commonly occurs following brain damage (e.g., stroke). While language rehabilitation can yield improved language functioning, treatment outcomes vary greatly across individuals. In chronic aphasia, language gains occur through the brain's inherent ability to reorganize (i.e., neuroplasticity).

While Speech-language therapy (SLT) can target various language skills and modalities, the most pervasive deficit across all persons with aphasia (PWA) is difficulty with word finding. Thus, aphasia treatment often includes some form of intervention focused on improving naming abilities. As with language function in general, naming abilities in PWA seems to be associated with left hemisphere recruitment, particularly with the viable tissue at the rim of the lesion (perilesional areas). This project investigates an innovative approach to improving current therapy by examining the benefits of using excitatory transcranial direct current stimulation (tDCS) stimulation/neuromodulation during anomia treatment (i.e. word-finding treatment).

This study investigates an innovative approach to improving current therapy by examining the benefits of using excitatory tDCS stimulation/neuromodulation during anomia treatment. This project will provide novel mechanistic understanding of changes in functional brain connectivity in persons with post-stroke aphasia and how connectivity relates to treatment outcomes.

The aims of this study are as follows:

Aim 1. To investigate the benefits of using broad transcranial direct current stimulation (tDCS) to improve word retrieval in persons with aphasia (PWA). Aim 2. To study functional brain changes related to this treatment. Aim 3. To examine behavioral and neural re-organization correlates related to treatment outcomes.

All participants will complete the following 3 components: (1) Baseline Assessment, (2) Interventions (i.e., SLT with active tDCS & sham tDCS , and (3) Outcome Testing (i.e., Behavioral & Brain Imaging). During the first week, each participant will complete all of the Neuropsychological Testing Battery and the first round of the outcome measures as pre-testing before starting SLT. Then the participant will complete 2 weeks of SLT accompanied with either active tDCS or sham tDCS. Once the SLT is completed, the participant will complete round 2 of outcome testing (i.e., post-testing for 1st SLT phase and pre-testing for 2nd SLT phase). Then, the participant will complete another 2 weeks of SLT but with the other tDCS condition. Once SLT is completed, the participant will complete round 3 of outcome testing (i.e., post-testing for 2nd SLT phase). Lastly, the participant will complete round 4 of outcome testing (i.e., follow-up)","","Interventional","Inclusion Criteria:

Presence of post-stroke aphasia
Single left hemisphere stroke etiology
At least 6 months post-stroke
Age range between 18 and 80 years old
Speak English as a native language
Adequate hearing and vision to complete the tasks

Exclusion Criteria:

Severe auditory comprehension deficits (determined by pretest) (i.e., global aphasia, Wernicke's aphasia, transcortical sensory aphasia)
Inability to provide informed consent
Co-occurring history of neurological disease/disorder/injury (e.g., traumatic brain injury, right hemisphere stroke, dementia)
Co-occurring history of a major mental illness (e.g., schizophrenia, drug addiction, bipolar)
Clinical conditions contraindicated for MRI or tDCS (e.g., implanted electrical devices, claustrophobia, seizure disorder)
Positive pregnancy test (for females)","No","18 Years","All","Little Rock Arkansas United States","Little Rock","72205","Arkansas",NA,"United States",-92.2896,34.7465
"25",52,"Modeling Treated Recovery From Aphasia","Aphasia Stroke Stroke, Ischemic Aphasia, Broca Aphasia, Global Aphasia, Mixed Aphasia, Jargon Aphasia, Expressive Aphasia, Conduction Aphasia, Fluent Aphasia, Anomic","August 2, 2016","NCT03416738","University of South Carolina","Recruiting","Stroke is the leading cause of adult disability in the United States, and aphasia is common following a stroke to the left hemisphere of the brain. Aphasia therapy can improve aphasia recover; however, very little is known about how different patients respond to different types of treatments.

The purpose of this study is to understand how the following factors influence an individual's response to aphasia treatment: 1) biographical factors (e.g., age, education, gender), 2) post-stroke cognitive/linguistic abilities and learning potential, and 3) the location and extent of post-stroke brain damage. We are also interested in understanding the kinds of treatment materials that should be emphasized in speech/language treatment.

Overall, the goal of the current research is to inform the clinical management of post-stroke aphasia by identifying factors that can predict how an individual will respond to different treatment methods.",NA,"","Interventional","Inclusion Criteria:

Experienced a left hemisphere ischemic or hemorrhagic stroke At least 12 months post-stroke
Primarily English speaker for the past 20 years
Ability to provide informed written or verbal consent MRI-compatible (e.g., no metal implants, not claustrophobic)

Exclusion Criteria:

History of a right hemisphere stroke (Bilateral stroke)
Clinically reported history of dementia, alcohol abuse, psychiatric disorder, traumatic brain injury, or extensive visual acuity or visual-spatial problems
Severely limited speech production and/or auditory comprehension that interferes with adequate participation in the therapy provided","No","21 Years","All","Charleston South Carolina United States","Charleston","29425","South Carolina","Julius Fridriksson","United States",-79.9403,32.7876
"26",52,"Modeling Treated Recovery From Aphasia","Aphasia Stroke Stroke, Ischemic Aphasia, Broca Aphasia, Global Aphasia, Mixed Aphasia, Jargon Aphasia, Expressive Aphasia, Conduction Aphasia, Fluent Aphasia, Anomic","August 2, 2016","NCT03416738","University of South Carolina","Recruiting","Stroke is the leading cause of adult disability in the United States, and aphasia is common following a stroke to the left hemisphere of the brain. Aphasia therapy can improve aphasia recover; however, very little is known about how different patients respond to different types of treatments.

The purpose of this study is to understand how the following factors influence an individual's response to aphasia treatment: 1) biographical factors (e.g., age, education, gender), 2) post-stroke cognitive/linguistic abilities and learning potential, and 3) the location and extent of post-stroke brain damage. We are also interested in understanding the kinds of treatment materials that should be emphasized in speech/language treatment.

Overall, the goal of the current research is to inform the clinical management of post-stroke aphasia by identifying factors that can predict how an individual will respond to different treatment methods.",NA,"","Interventional","Inclusion Criteria:

Experienced a left hemisphere ischemic or hemorrhagic stroke At least 12 months post-stroke
Primarily English speaker for the past 20 years
Ability to provide informed written or verbal consent MRI-compatible (e.g., no metal implants, not claustrophobic)

Exclusion Criteria:

History of a right hemisphere stroke (Bilateral stroke)
Clinically reported history of dementia, alcohol abuse, psychiatric disorder, traumatic brain injury, or extensive visual acuity or visual-spatial problems
Severely limited speech production and/or auditory comprehension that interferes with adequate participation in the therapy provided","No","21 Years","All","Columbia South Carolina United States","Columbia","29208","South Carolina","Julius Fridriksson","United States",-81.0343,34.0007
"27",60,"Transcranial Alternating Current Stimulation (tACS) in Aphasia","Aphasia Stroke","January 4, 2020","NCT04375722","Medical College of Wisconsin","Recruiting","This study will assess the effects of transcranial alternating current stimulation (tACS) on language recovery after stroke as well as healthy language functions.","Aphasia is a debilitating disorder, typically resulting from damage to the left hemisphere, that can impair a range of communication abilities, including language production and comprehension, reading, and writing. Approximately 180,000 new cases of aphasia are identified per year, and approximately 1 million or 1 in 250 are living with aphasia in the United States (NIH-NIDCD, 2015). Treatments are limited and provide modest benefits at best. The current emphasis in aphasia rehabilitation is to formulate intensive speech and language therapies and augment therapeutic benefits by providing brain stimulation concurrent with therapies. Transcranial direct current stimulation (tDCS) is one of the most widely used such technique. While tDCS has had relative success in chronic aphasia (>6 months after stroke), it has not been efficacious during subacute stages (<3 months after stroke). But enhancing language recovery early after stroke is desirable because of its potential impact on long-term language outcomes and quality-of-life.

The current study will investigate the efficacy of high-definition tACS (HD-tACS) to help restore neural oscillatory activity in aphasia. TACS differs from tDCS in that sinusoidal, alternating currents are delivered rather than constant currents. TACS can manipulate the ongoing oscillatory neuronal activity and potentially increase functional synchronization (or connectivity) between targeted areas. This feature of tACS is quite attractive, given the new body of evidence suggesting that language impairments stem from diminished functional connectivity and disruptions in the language network due to stroke. The selection of tACS frequencies in this study is guided by our preliminary work examining pathological neural oscillations found near stroke-lesioned areas (or perilesional) in aphasia. By exogenously tuning the perilesional oscillations with tACS, the investigators hope to up-regulate communication across these areas and other connected areas to improve language outcome. If successful, tACS will be a powerful and novel treatment approach with reverberating positive impact on long-term recovery.

The study will employ HD-tACS in a within-subject and sham-controlled design, using two frequencies (alpha/10 Hz and low-gamma/40 Hz) combined with language tasks and electroencephalography (EEG) to evaluate subsequent behavioral and neurophysiological changes. Investigators plan to recruit 50 participants: 25 stroke survivors with aphasia at lease 1 month after stroke, and 25 healthy controls.

Participants will complete language testing that covers a broad range of language functions, medical history, and MRI. Eligible participants will undergo active tACS at 10 Hz or 40 Hz, or sham-tACS. All participants will receive all three stimulation types during separate visits. The tACS administrator and participants will be blinded to the stimulation type. The order of stimulation type will be counterbalanced across participants. Washout period between visits will be at least 48 hours to minimize potential carryover effects. EEG will be acquired before and after tACS during periods of rest (resting-state) and during language tasks. Participants will complete a questionnaire at the end of stimulation visits to assess potential side effects of tACS. Total time enrolled in the study is expected to be 2-3 weeks, which may be longer depending on participant's availability.","language language impairment transcranial alternating current stimulation tACS","Interventional","Inclusion Criteria:

Healthy Controls

18 years of age or older
Fluent in English
No history of neurological or psychiatric disorders

Stroke Patients

Diagnosed with post-stroke aphasia by referring physician/neuropsychologist
Consent date >=1 months after stroke onset
Right-handed
Fluent in English
18 years of age or older

Exclusion Criteria:

Severe cognitive, auditory or visual impairments that would preclude cognitive and language testing
Presence of major untreated or unstable psychiatric disease
A chronic medical condition that is not treated or is unstable
The presence of cardiac stimulators or pacemakers
Any metal implants in the skull
Contraindications to MRI or tACS
History of seizures
History of dyslexia or other developmental learning disabilities","Accepts Healthy Volunteers","18 Years","All","Milwaukee Wisconsin United States","Milwaukee","53226","Wisconsin","Priyanka Shah-Basak, PhD","United States",-87.9225,43.035
"28",63,"Efficacy of START (Startle Rehabilitation Therapy) in the Treatment Stroke-induced Aphasia/Apraxia","Stroke Aphasia Apraxia of Speech","July 22, 2020","NCT04816799","Arizona State University","Recruiting","A stratified, parallel-group, double-blind, randomized controlled trial of remotely delivered START treatment to individuals with severe-to-moderate stroke (with recruitment focused on individuals with low SES) will be conducted. Subjects and assessors will be blinded to the condition making the experiment double blind. Specifically, subjects will be told that we are exploring a new therapy that using different sounds to improve therapy. Parallel group design will ensure that subjects in the Control group are unaware that their ""sounds"" are softer than the START group. Trainers may become aware that a loud sound is present thus a unique Assessor will evaluate clinical performance before and after training making the study double-blind. Fifty-four subjects will undergo baseline testing in the laboratory to establish their capacity for functional and expressive speech as well as their self-reported health-related quality of life (power analysis below). Next, subjects will participate in a high-frequency, word-picture verification/ auditory-repetition treatment, 2 hr/day for 5 consecutive days focusing on expression of words of functional significance (e.g., water, fall). Subjects will either receive training with START or without (Control). Subjects will be re-tested immediately following training as well as one-month post to assess retention. Aim 1 will evaluate capacity of START to enhance SLT outcomes by assessing the % change in clinical assessment of functional and expressive speech. Our preliminary data points to a robust response [details]. Aim 2 will focus on the capacity of these changes to 1) be retained and 2) impact subject's reported quality of life. NOTE: While we are planning in-person baseline, end, and retention testing, in response to COVID, we have established remote clinical screening using peer-reviewed validated techniques for WAB and ABA-2 (see Alternative Solutions). All preliminary data collected for this proposal were collected remotely via no-contact protocols.",NA,"","Interventional","Inclusion Criteria:

18 years old
Native English Speakers
Capacity to provide informed consent
Right-handed
Corrected to normal vision
Left hemisphere cerebral stroke at least 6 months prior to testing
Presence of severe-to-moderate, non-fluent aphasia, i.e. Aphasia Quotients of 0-50 on the Western Aphasia Battery-Revised (PsychCorp, 2007)
Corrected pure tone threshold (octave frequencies 250- 4000 Hz) norms for their age and gender41,42 NOTE: Audiometry data will be collected for all participants by lab personnel trained by an audiologist in a sound-attenuated booth. Based on our ongoing aphasia studies, we expect that ~30% of participants will use hearing aids; we will not exclude these individuals but rather include hearing aid use as a covariate in analyses.

Exclusion Criteria:

Severe concurrent uncontrolled medical problems (e.g. cardiorespiratory impairment).","No","18 Years","All","Tempe Arizona United States","Tempe","85287","Arizona","Claire Honeycutt","United States",-111.9094,33.4144
"29",71,"Effects of Transcranial Direct Current Stimulation (tDCS) on Language","Stroke Aphasia","December 1, 2019","NCT04166513","Medical College of Wisconsin","Recruiting","This study will investigate the effects of mild electrical stimulation in conjunction with speech therapy for people with post-stroke aphasia to enhance language recovery.","Aphasia is a disturbance of language, primarily caused by brain injury to the left cerebral hemisphere. Aphasia treatments include speech and language therapy and pharmacologic therapy, but several studies have found that these treatments are not completely effective for patients with aphasia, leaving them with residual deficits that significantly add to the cost of stroke-related care. Additionally, the amount and frequency of speech and language therapy delivered may have a critical effect on recovery. Therefore, there is a need for new treatments or adjuncts to existing treatments, such as brain stimulation interventions, that have the potential to show greater improvements in patients with aphasia. One such new approach for non-invasive brain stimulation is transcranial direct current stimulation (tDCS).

This study will examine the effects of tDCS during speech therapy to further examine which method or methods is best for patient recovery. Patients enrolled in the study will undergo language testing that covers a broad range of language functions. Functional Magnetic Resonance Imaging (fMRI) will be completed before and after speech therapy intervention arms to investigate the neural processes affected by tDCS and speech therapy.

Study design:

Patients will be randomly assigned to one of 2 speech therapy groups in a double-blind, partial crossover design. Patients will receive one of two different speech therapy treatment interventions to focus on specific processing deficits. Participants will undergo neuropsychological evaluation and fMRI assessment before receiving targeted or active-control anodal-tDCS for 10 therapy sessions. Participants will then be re-tested using the behavioral assessment measure and fMRI before crossing over to either receive the tDCS intervention they did not already receive, within the same speech therapy arm. They will complete a final behavioral assessment and fMRI at the completion of the treatment.","tDCS treatment brain stimulation","Interventional","Inclusion Criteria:

Patients with a language deficit from focal neurologic damage (e.g. stroke, tumor).
Patients must be adults and have English-language fluency.
Patients must be eligible to undergo MRI.

Exclusion Criteria:

Advanced neurodegenerative disease (i.e. Stage 3 Alzheimer's disease) or neurologic disorder (e.g. idiopathic epilepsy, Parkinson's disease, ALS)
Severe psychopathology (e.g. schizophrenia, bipolar disorder, acute major depressive episode)
No suspected or diagnosed uncorrectable hearing or vision difficulties, or developmental disabilities (i.e. intellectual disability or learning disability).
Contraindications to MRI such as claustrophobia, implanted electronic devices, MRI-incompatible metal in the body, extreme obesity, pregnancy, inability to lie flat, and inability to see or hear stimulus materials","No","18 Years","All","Milwaukee Wisconsin United States","Milwaukee","53226","Wisconsin","Sara Pillay","United States",-87.9225,43.035
"30",72,"Intention Treatment for Anomia","Aphasia Stroke","May 24, 2021","NCT04267198","VA Office of Research and Development","Recruiting","Every year approximately 15,000 Veterans are hospitalized for stroke, and up to 40% of those Veterans will experience stroke-related language impairment (i.e., aphasia). Stroke-induced aphasia results in increased healthcare costs and decreased quality of life. As the population of Veterans continues to age, there will be an increasing number for Veterans living with the aphasia and its consequences. Those Veterans deserve to receive aphasia treatment designed to facilitate the best possible outcomes. In the proposed study, the investigators will investigate optimal treatment intensity and predictors of treatment response for a novel word retrieval treatment. The knowledge the investigators gain will have direct implications for the selecting the right treatment approach for the right Veteran.","Difficulty retrieving words is one of the most common language complaints in individuals with stroke-induced aphasia. The negative consequences related to word retrieval impairment include increased health care costs and decreased quality of life. A variety of treatment approaches exist to improve word retrieval, and most of the treatments result in immediate improvement on trained words. However, long-term improvement and improvement on untrained words or behaviors is less common. Additionally, the investigators currently know very little about optimal treatment administration parameters, and the investigators know even less about predictors of treatment response. To make the best use of the limited clinical resources available for aphasia treatment, and to maximize outcomes for Veterans with aphasia, the investigators must: 1) develop clinically translatable treatments that yield widespread and lasting effects and 2) develop clinically accessible ways of identifying who will acquire benefit from a specific treatment approach. This study takes on these two challenges by investigating dose frequency (massed vs. distributed practice) effects and by identifying the language, cognitive and neural predictors of response to Intention treatment (INT), a novel word retrieval treatment. Specifically, the investigators will address the following aims:

Aim 1: To investigate dose frequency effects on maintenance and generalization of INT gains. Outcome measure: Word retrieval accuracy for trained and untrained words.

Aim 2: To identify the language and cognitive variables that predict response to m-INT vs. d-INT. Outcome measure: Language and cognitive ability as measured by standardized assessments.

Aim 3: To identify the neural predictors of response to m-INT vs. d-INT. Outcome measure: Tissue health and task activation location as measured by structural and functional MRI.","aphasia language rehabilitation speech-language pathology","Interventional","Inclusion Criteria:

English as primary language
> 6 months post-onset a left-hemisphere stroke. Multiple strokes are acceptable as long as they are confined to the left hemisphere.
Diagnosis of aphasia
Presence of word retrieval deficits
Adequate comprehension as judged by ability to complete two-step commands on the Western Aphasia Battery.

Exclusion Criteria:

Severe apraxia of speech or dysarthria
Clinically significant depression
For MRI safety: implanted medical devices, metal in the body and claustrophobia.","No","21 Years","All","Decatur Georgia United States","Decatur","30033","Georgia",NA,"United States",-84.2961,33.7738
"31",74,"The Impact of Group Singing on Patients With Stroke and Their Personal Caregivers","Stroke and Aphasia","April 2014","NCT02328573","Icahn School of Medicine at Mount Sinai","Recruiting","The study will focus on the impact of communal singing on patients with stroke and their personal caregivers. Forty post-stroke patients will be randomly assigned to two groups: the first group of 20 stroke survivors and their caregivers (up to 40 total participants) will receive 6 months (approximately 24 sessions) of music therapy. The second control groups of 20 stroke survivors and their caregivers will receive standard post-stroke care","The study will focus on the impact of communal singing on patients with stroke and their personal caregivers. Forty post-stroke patients will be randomly assigned to two groups: the first group of 20 stroke survivors and their caregivers (up to 40 total participants) will receive 6 months (approximately 24 sessions) of music therapy. The second control groups of 20 stroke survivors and their caregivers will receive standard post-stroke care.

All enrolled participants will be assessed on their mood, past music experience and music genre preference (music therapy assessment). They will complete the abridged Beck (BDI-2-fastscreen) questionnaire, the stoke and aphasia quality of life scale; a Likert which measures distress; the Western Aphasia Battery (WAB); the NIH Stroke Scale (SS); the Figely compassion scale; and the driving scene test (Stern and White); and the Rankin. In additional we will take saliva samples from all participants to measure hormone levels.","","Interventional","Inclusion Criteria:

Stroke victim, regardless of level of stroke

Exclusion Criteria:

None","No","18 Years","All","New York New York United States","New York","10003","New York","Joanne Loewy","United States",-73.9826608125,40.76872225
